Image_name	Species	Structure_and_view	image_dir
INVTUXV214fcepidTXV085_200X_E2A.jpg	Epilineutes sp02	Epigynum dorsal view	../../Images/Theridiosomatidae/Epilineutes/sp02/INVTUXV214fcepidTXV085_200X_E2A.jpg
INVTUXV214mphabdTXV085_80X_Z10.jpg	Epilineutes sp02	Habitus dorsal view	../../Images/Theridiosomatidae/Epilineutes/sp02/INVTUXV214mphabdTXV085_80X_Z10.jpg
INVTUXV214mphablTXV085_80X_Z10.jpg	Epilineutes sp02	Habitus lateral view	../../Images/Theridiosomatidae/Epilineutes/sp02/INVTUXV214mphablTXV085_80X_Z10.jpg
INVTUXV214mphabvTXV085_80X_Z10.jpg	Epilineutes sp02	Habitus ventral view	../../Images/Theridiosomatidae/Epilineutes/sp02/INVTUXV214mphabvTXV085_80X_Z10.jpg
INVTUXV214mpprsaTXV085_100X_E2B.jpg	Epilineutes sp02	Prosoma anterior view	../../Images/Theridiosomatidae/Epilineutes/sp02/INVTUXV214mpprsaTXV085_100X_E2B.jpg
INVTUXV214mppalvTXV085_200X_E2B.jpg	Epilineutes sp02	Palp ventral view	../../Images/Theridiosomatidae/Epilineutes/sp02/INVTUXV214mppalvTXV085_200X_E2B.jpg
INVTUXV214mppalpTXV085_200X_E2B.jpg	Epilineutes sp02	Palp prolateral view	../../Images/Theridiosomatidae/Epilineutes/sp02/INVTUXV214mppalpTXV085_200X_E2B.jpg
INVTUXV214mppalrTXV085_200X_E2B.jpg	Epilineutes sp02	Palp retrolateral view	../../Images/Theridiosomatidae/Epilineutes/sp02/INVTUXV214mppalrTXV085_200X_E2B.jpg
INVTUXV216fphabdTXV083_60X_Z10.jpg	Theridiosoma chiripa	Habitus dorsal view	../../Images/Theridiosomatidae/Theridiosoma/chiripa/INVTUXV216fphabdTXV083_60X_Z10.jpg
INVTUXV216fphablTXV083_60X_Z10.jpg	Theridiosoma chiripa	Habitus lateral view	../../Images/Theridiosomatidae/Theridiosoma/chiripa/INVTUXV216fphablTXV083_60X_Z10.jpg
INVTUXV216fphabvTXV083_60X_Z10.jpg	Theridiosoma chiripa	Habitus ventral view	../../Images/Theridiosomatidae/Theridiosoma/chiripa/INVTUXV216fphabvTXV083_60X_Z10.jpg
INVTUXV216fpprsaTXV083_100X_E2B.jpg	Theridiosoma chiripa	Prosoma anterior view	../../Images/Theridiosomatidae/Theridiosoma/chiripa/INVTUXV216fpprsaTXV083_100X_E2B.jpg
INVTUXV216fpepivTXV083_100X_E2B.jpg	Theridiosoma chiripa	Epigynum ventral view	../../Images/Theridiosomatidae/Theridiosoma/chiripa/INVTUXV216fpepivTXV083_100X_E2B.jpg
INVTUXV216mphabdTXV083_80X_Z10.jpg	Theridiosoma chiripa	Habitus dorsal view	../../Images/Theridiosomatidae/Theridiosoma/chiripa/INVTUXV216mphabdTXV083_80X_Z10.jpg
INVTUXV216mphablTXV083_80X_Z10.jpg	Theridiosoma chiripa	Habitus lateral view	../../Images/Theridiosomatidae/Theridiosoma/chiripa/INVTUXV216mphablTXV083_80X_Z10.jpg
INVTUXV216mphabvTXV083_80X_Z10.jpg	Theridiosoma chiripa	Habitus ventral view	../../Images/Theridiosomatidae/Theridiosoma/chiripa/INVTUXV216mphabvTXV083_80X_Z10.jpg
INVTUXV216mpprsaTXV083_100X_E2B.jpg	Theridiosoma chiripa	Prosoma anterior view	../../Images/Theridiosomatidae/Theridiosoma/chiripa/INVTUXV216mpprsaTXV083_100X_E2B.jpg
INVTUXV216mppalvTXV083_200X_E2B.jpg	Theridiosoma chiripa	Palp ventral view	../../Images/Theridiosomatidae/Theridiosoma/chiripa/INVTUXV216mppalvTXV083_200X_E2B.jpg
INVTUXV216mppalpTXV083_200X_E2B.jpg	Theridiosoma chiripa	Palp prolateral view	../../Images/Theridiosomatidae/Theridiosoma/chiripa/INVTUXV216mppalpTXV083_200X_E2B.jpg
INVTUXV216mppalrTXV083_200X_E2B.jpg	Theridiosoma chiripa	Palp retrolateral view	../../Images/Theridiosomatidae/Theridiosoma/chiripa/INVTUXV216mppalrTXV083_200X_E2B.jpg
INVTUXV217fphabdTXV082_60X_Z10.jpg	Theridiosoma sp01	Habitus dorsal view	../../Images/Theridiosomatidae/Theridiosoma/sp01/INVTUXV217fphabdTXV082_60X_Z10.jpg
INVTUXV217fphablTXV082_60X_Z10.jpg	Theridiosoma sp01	Habitus lateral view	../../Images/Theridiosomatidae/Theridiosoma/sp01/INVTUXV217fphablTXV082_60X_Z10.jpg
INVTUXV217fphabvTXV082_60X_Z10.jpg	Theridiosoma sp01	Habitus ventral view	../../Images/Theridiosomatidae/Theridiosoma/sp01/INVTUXV217fphabvTXV082_60X_Z10.jpg
INVTUXV217fpprsaTXV082_100X_E2B.jpg	Theridiosoma sp01	Prosoma anterior view	../../Images/Theridiosomatidae/Theridiosoma/sp01/INVTUXV217fpprsaTXV082_100X_E2B.jpg
INVTUXV217fcepivTXV082_200X_E2A.jpg	Theridiosoma sp01	Epigynum ventral view	../../Images/Theridiosomatidae/Theridiosoma/sp01/INVTUXV217fcepivTXV082_200X_E2A.jpg
INVTUXV217fpepivTXV082_100X_E2B.jpg	Theridiosoma sp01	Epigynum ventral view	../../Images/Theridiosomatidae/Theridiosoma/sp01/INVTUXV217fpepivTXV082_100X_E2B.jpg
INVTUXV217fcepidTXV082_200X_E2A.jpg	Theridiosoma sp01	Epigynum dorsal view	../../Images/Theridiosomatidae/Theridiosoma/sp01/INVTUXV217fcepidTXV082_200X_E2A.jpg
INVTUXV217fcepipTXV082_200X_E2A.jpg	Theridiosoma sp01	Epigynum prolateral view	../../Images/Theridiosomatidae/Theridiosoma/sp01/INVTUXV217fcepipTXV082_200X_E2A.jpg
INVTUXV217fpepiTTXV082_100X_E2B.jpg	Theridiosoma sp01	Epigynum posterior view	../../Images/Theridiosomatidae/Theridiosoma/sp01/INVTUXV217fpepiTTXV082_100X_E2B.jpg
INVTUXV217mphabdTXV082_80X_Z10.jpg	Theridiosoma sp01	Habitus dorsal view	../../Images/Theridiosomatidae/Theridiosoma/sp01/INVTUXV217mphabdTXV082_80X_Z10.jpg
